rating,review_count,owner_response,verified_reviewers,templated_reviews,label
3.8,2464,1,1,1,0
2.5,146,0,0,1,1
4.1,4019,0,1,0,0
4.6,4119,1,1,0,0
2.4,261,0,1,1,1
1.6,171,0,0,1,1
2.2,94,0,0,1,1
4.1,1354,0,1,0,0
4.9,2800,1,1,0,0
4.3,3857,0,1,0,0
1.4,130,0,1,1,1
3.8,373,1,0,0,1
1.2,40,0,0,1,1
2.6,264,0,1,0,1
4.1,4821,1,1,0,0
2.6,249,0,0,1,1
3.7,2995,1,1,0,0
3.9,490,0,0,1,1
3.6,2255,1,0,0,0
4.3,2975,1,1,1,0
2.1,329,0,1,1,1
2.5,445,0,0,1,1
3.7,46,0,0,1,1
4.2,2792,1,1,0,0
4.5,1191,0,1,0,0
2.6,401,0,0,1,1
4.0,189,1,1,1,0
2.9,24,0,0,1,1
1.9,225,0,0,1,1
2.8,142,0,0,1,1
2.8,429,0,0,1,1
1.8,138,1,1,1,1
4.7,3805,1,1,0,0
3.9,429,1,0,1,1
2.7,440,0,1,1,1
1.8,311,1,0,1,1
3.5,317,0,1,1,1
3.5,32,1,1,1,1
3.7,2272,1,1,1,0
4.9,2688,1,1,0,0
2.6,291,1,0,1,1
1.7,436,0,0,1,1
2.2,137,0,1,1,1
1.5,270,0,0,1,1
3.9,233,0,0,1,1
3.0,216,0,0,1,1
5.0,3575,0,1,0,0
4.8,1222,1,1,0,0
3.6,1239,1,1,1,0
4.9,1159,1,1,1,0
1.9,68,0,0,1,1
3.7,3907,1,1,0,0
3.3,141,1,1,1,1
2.1,295,0,0,1,1
1.7,160,0,1,1,1
1.4,482,0,1,1,1
4.2,2403,1,1,0,0
5.0,1634,1,1,0,0
3.5,2553,0,1,0,0
3.0,232,0,1,1,1
2.2,139,0,1,0,1
1.7,226,1,0,0,1
2.4,287,0,0,1,1
4.4,3910,1,1,0,0
2.1,85,0,1,1,1
3.9,838,0,1,0,0
2.0,344,0,0,1,1
5.0,1752,1,1,0,0
4.6,1438,1,1,0,0
5.0,376,1,1,0,0
2.0,138,0,0,1,1
2.4,51,0,0,1,1
4.3,4540,1,1,0,0
4.4,1113,1,1,0,0
3.4,460,0,1,1,1
4.3,3913,0,1,0,0
4.9,493,0,1,0,0
3.9,3981,1,1,0,0
3.8,60,0,0,1,1
3.7,59,1,1,1,1
3.1,358,0,0,1,1
3.6,2879,1,1,0,0
4.9,3580,1,1,0,0
4.6,3520,0,1,0,0
3.9,2426,0,1,0,0
4.5,3315,1,1,0,0
2.6,418,0,1,1,1
3.9,98,0,1,1,1
3.8,4933,0,1,1,0
4.3,4759,1,1,0,0
